Vegetable Samosa,110,https://i0.wp.com/thetwincookingproject.net/wp-content/uploads/2020/02/Cheese-and-Mushroom-Samosas-18-scaled.jpg?fit=1707%2C2560&ssl=1,Crispy fried dumplings stuffed with potatoes and peas.,yet to be added,yet to be added,Indian,Vegan,Appetizer
Vegetable Pakora,110,https://www.indianhealthyrecipes.com/wp-content/uploads/2016/06/veg-pakora-recipe-500x500.jpg,Chopped vegetables coated with a chickpea batter and fried.,yet to be added,yet to be added,Indian,Vegan,Appetizer
Vegetable Chat,80,https://prods3.imgix.net/images/articles/2016_11/Featured-Sweet-Potato-Chaat-Indian-Recipe.jpg,"Healthy snack made by combining different colourful vegetables like cauliflower, carrot, beans, green peas, broccoli potato and baby corns. Seasoned with salt, lemon juice and some mild spices, this is refreshing appetiser.",yet to be added,yet to be added,Indian,Vegan,Appetizer
Chicken Samosa,130,https://i0.wp.com/vegecravings.com/wp-content/uploads/2017/03/samosa-recipe-step-by-step-instructions.jpg?fit=1801%2C1717&quality=65&strip=all&ssl=1,Crispy fried dumplings stuffed with minced chicken and greens.,yet to be added,yet to be added,Fusion,Non Vegetarian,Appetizer
Chicken Pakora,130,https://yummyindiankitchen.com/wp-content/uploads/2015/12/chicken-pakoda-recipe-chicken-pakodi.jpg,Minced chicken meat balls coated with a chickpea batter and fried.,yet to be added,yet to be added,Fusion,Non Vegetarian,Appetizer
Lamb Samosa,150,https://www.whiskaffair.com/wp-content/uploads/2014/07/Chicken-Samosa-1-3.jpg,Crispy fried dumplings stuffed with minced lamb meat and greens.,yet to be added,yet to be added,Fusion,Non Vegetarian,Appetizer
Fresh Mozzarella,150,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F9%2F2016%2F10%2Frecipehd0515-diy-mozzarella.jpg&w=200&c=sc&poi=face&q=85,"Warm, tender, milky mozzarella is easier to make than you might think. Plus it takes just 20 minutes.",yet to be added,yet to be added,Italian,Vegetarian,Appetizer
Fritto Misto,200,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F9%2F2016%2F10%2F201010-HD-autumn-fritto-misto-201010-r-autumn-fritto-misto.jpg&w=200&c=sc&poi=face&q=85,"In the fall  apples, mushrooms and late-harvest zucchini, fried in a batter made extra-light and crisp by adding sparkling wine and whipped egg white. It is best eaten hot from the pan, perhaps served in a paper cone.",yet to be added,yet to be added,Italian,Vegetarian,Appetizer
Grilled Tomato Crostini,200,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F9%2F2016%2F10%2FHD-201006-r-tomato-crostini.jpg&w=200&c=sc&poi=face&q=85,"There’s no better way to enjoy sweet summer tomatoes than with extra-virgin olive oi­l, lots of basil, and grilled slices of thick ciabatta.",yet to be added,yet to be added,Italian,Vegan,Appetizer
Deviled Eggs and Ham,210,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F9%2F2014%2F04%2Foriginal-2009-HD-deviled-eggs.jpg&w=200&c=sc&poi=face&q=85,"Deviled eggs get their terrific flavour from goat cheese, Dijon mustard and cornichons, plus a topping of country ham.",yet to be added,yet to be added,American,Non Vegetarian,Appetizer
